reaction,genes,subsystem,name,q_slope,r2,monotonicity,fvseof_score,kd_growth_frac
R00004,RPA0411,Oxidative phosphorylation,Pyrophosphate phosphohydrolase (soluble),-0.41394332665344685,0.9664074113019986,1.0,0.40003789873689516,1.0
R01196,RPA4721,Citrate cycle (TCA cycle),pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),-0.2720988956244547,0.8783429457125048,1.0,0.23899614550790294,0.9384479721176364
R00206,RPA1051,Pyruvate metabolism,"ATPpyruvate,orthophosphate phosphotransferase",-0.2270209431613147,0.9624898287000869,1.0,0.21850534869466595,0.977717347338206
R04386,RPA0071|RPA0508|RPA2435|RPA2436,Fatty acid biosynthesis,Acetyl-CoAcarbon-dioxide ligase (ADP-forming),-0.16529404875191175,0.9942410450914287,1.0,0.16434212777849433,0.1000000000000097
R04385,RPA2435|RPA2436|RPA2936,Fatty acid biosynthesis,biotin-carboxyl-carrier-proteincarbon-dioxide ligase (ADP-forming),-0.1652940487518035,0.9942410450913828,1.0,0.1643421277783791,0.1000000000000055
R00921,RPA4567,Propanoate metabolism,acetyl-CoAphosphate acetyltransferase,-0.15134822532449888,0.9930999064672015,1.0,0.15030390841373675,1.0
R01821,RPA4727,Starch and sucrose metabolism,cpd00155 phosphorylase,-0.15134822532163028,0.9930999064611089,1.0,0.15030390840996585,1.0
R01253,RPA1580,Arginine and proline metabolism,Proline dehydrogenase,-0.1297270502788112,0.9930999064664867,1.0,0.12883192149806064,1.0
R01257,RPA1331,Pyruvate metabolism,(S)-Malate(acceptor) oxidoreductase,-0.12972705027577042,0.9930999064612228,1.0,0.12883192149435796,1.0
R01529,RPA3815,Pentose phosphate pathway,D-Ribulose-5-phosphate 3-epimerase,-0.2313889510864884,0.8131171367745085,0.6666666666666666,0.12543088092580149,0.9956578609423786
R00315,RPA4566,Taurine and hypotaurine metabolism,ATP:acetate phosphotransferase,-0.1159787472739341,0.9932132115715064,1.0,0.11519162405398418,1.0
R01325,RPA0202,Citrate cycle (TCA cycle),citrate hydro-lyase,-0.13376027027279222,0.8482109814810738,1.0,0.11345693013125878,0.8731849441364768
R00351,RPA2907,Citrate cycle (TCA cycle),Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- - acetyl-CoA),-0.13376027027244655,0.8482109814831544,1.0,0.11345693013124389,0.8731849441364814
R00571,RPA2886,Pyrimidine metabolism,UTPammonia ligase(ADP-forming),-0.11423062310026413,0.9931339897470771,1.0,0.11344631447085995,0.9996808243988528
R00568,RPA4765,Pyrimidine metabolism,CTP aminohydrolase,-0.11351116899333984,0.9930999064673868,1.0,0.11272793131028952,1.0
R01515,RPA3173,Pyruvate metabolism,3-Phospho-D-glyceroyl phosphate phosphohydrolase,-0.11351116899304674,0.9930999064671682,1.0,0.11272793130997363,1.0
R00019,RPA0962|RPA0963,Hydrogen biosynthesis,hydrogen:ferredoxin oxidoreductase,-0.11351116899265948,0.9930999064680718,1.0,0.11272793130969162,1.0
R00256,RPA4211,Glutamate metabolism,L-Glutamine amidohydrolase,-0.11351116899266091,0.9930999064680149,1.0,0.11272793130968659,1.0
R00259,RPA0592,Urea cycle and metabolism of amino groups,Acetyl-CoAL-glutamate N-acetyltransferase,-0.11351116899250815,0.9930999064679683,1.0,0.11272793130952959,1.0
R00341,RPA0360,Glycolysis / Gluconeogenesis,ATPoxaloacetate carboxy-lyase (transphosphorylating),-0.11351116899137419,0.9930999064610727,1.0,0.11272793130762072,1.0
R00233,RPA0560,Beta-Alanine metabolism,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),-0.11351116899129754,0.9930999064612543,1.0,0.11272793130756523,1.0
R04209,RPA4174|RPA4175,Purine metabolism,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase,-0.11351116899128996,0.9930999064612673,1.0,0.11272793130755918,1.0
R00706,RPA3450,Inositol metabolism,"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)",-0.11351116899129872,0.9930999064611474,1.0,0.11272793130755426,1.0
R02301,RPA4454,One carbon pool by folate,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),-0.11351116899123563,0.9930999064611937,1.0,0.11272793130749686,1.0
R00835,RPA3636,Pentose phosphate pathway,D-Glucose-6-phosphateNADP+ 1-oxoreductase,-0.11313371911911077,0.94765325817945,1.0,0.10721153753318406,1.0
R01528,RPA3635,Pentose phosphate pathway,6-Phospho-D-gluconateNADP+ 2-oxidoreductase (decarboxylating),-0.11313371911832791,0.9476532581815332,1.0,0.10721153753267786,1.0
R02035,RPA3637,Pentose phosphate pathway,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",-0.11313371911802395,0.9476532581759944,1.0,0.10721153753176318,1.0
R00479,RPA4394,Glyoxylate and dicarboxylate metabolism,Isocitrate glyoxylate-lyase,-0.09935604481831778,0.9095928008475076,1.0,0.09037354308742417,0.9927725340988961
R00260,RPA1592,Glutamate metabolism,L-Glutamate racemase,-0.087157222937443,0.9822336800508891,1.0,0.0856087598288604,0.10000000000002277
