reaction,genes,subsystem,name,flux_diff,abs_flux_diff,retap_score,kd_growth_frac
R03276,RPA0818,Fatty acid metabolism,(S)-3-Hydroxybutanoyl-CoA 3-epimerase,0.36043699938753815,0.36043699938753815,471.98290862454974,0.9996220193873372
R01353,RPA4566,Propanoate metabolism,ATP:acetate phosphotransferase,0.19489981785077967,0.19489981785077967,449.2328529479782,1.0
R01137,RPA3056,Purine metabolism,ATPnucleoside-diphosphate phosphatransferase,0.19489981785074287,0.19489981785074287,448.0105124381355,0.9999580587167642
R00206,RPA1051,Pyruvate metabolism,"ATPpyruvate,orthophosphate phosphotransferase",0.19489981785071908,0.19489981785071908,447.97276949431347,0.977717347338206
R01821,RPA4727,Starch and sucrose metabolism,cpd00155 phosphorylase,0.19489981785063767,0.19489981785063767,449.2328529479758,1.0
R00921,RPA4567,Propanoate metabolism,acetyl-CoAphosphate acetyltransferase,0.1948998178506375,0.1948998178506375,449.23285294797523,1.0
R01257,RPA1331,Pyruvate metabolism,(S)-Malate(acceptor) oxidoreductase,0.16705698672911776,0.16705698672911776,449.23285294797415,1.0
R01253,RPA1580,Arginine and proline metabolism,Proline dehydrogenase,0.1670569867291166,0.1670569867291166,449.23285294797466,1.0
R00004,RPA0411,Oxidative phosphorylation,Pyrophosphate phosphohydrolase (soluble),0.1461748633881841,0.1461748633881841,445.6798828170814,1.0
R02300,RPA3848|RPA3849,One carbon pool by folate,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),0.14617486338804767,0.14617486338804767,449.23285294797756,1.0
R01515,RPA3173,Pyruvate metabolism,3-Phospho-D-glyceroyl phosphate phosphohydrolase,0.1461748633879821,0.1461748633879821,449.23285294798467,1.0
R00571,RPA2886,Pyrimidine metabolism,UTPammonia ligase(ADP-forming),0.14617486338798014,0.14617486338798014,449.23285294797495,0.9996808243988528
R00019,RPA0962|RPA0963,Hydrogen biosynthesis,hydrogen:ferredoxin oxidoreductase,0.14617486338797847,0.14617486338797847,449.23285294797466,1.0
R04385,RPA2435|RPA2436|RPA2936,Fatty acid biosynthesis,biotin-carboxyl-carrier-proteincarbon-dioxide ligase (ADP-forming),0.1461748633879784,0.1461748633879784,449.2328529479743,0.1000000000000055
R00706,RPA3450,Inositol metabolism,"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)",0.14617486338797828,0.14617486338797828,449.23285294797483,1.0
R00233,RPA0560,Beta-Alanine metabolism,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),0.1461748633879782,0.1461748633879782,449.23285294797466,1.0
R04386,RPA0071|RPA0508|RPA2435|RPA2436,Fatty acid biosynthesis,Acetyl-CoAcarbon-dioxide ligase (ADP-forming),0.14617486338797805,0.14617486338797805,449.23285294797444,0.1000000000000097
