reaction,gene,subsystem,name,methods,n_methods,consensus_score,FVSEOF_q_slope,FluxRETAP_flux_diff,CASOP_ko_score
R01196,RPA4721,Citrate cycle (TCA cycle),pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),FVSEOF|FluxRETAP|CASOP,3,1.7986,-0.2720988956244547,0.0595330352706933,0.0689520758222445
R00921,RPA4567,Propanoate metabolism,acetyl-CoAphosphate acetyltransferase,FVSEOF|FluxRETAP|CASOP,3,1.3602,-0.1513482253244988,0.1948998178506375,0.0339316457721871
R01528,RPA3635,Pentose phosphate pathway,6-Phospho-D-gluconateNADP+ 2-oxidoreductase (decarboxylating),FVSEOF|FluxRETAP|CASOP,3,0.7825,-0.1131337191183279,0.0594609613781673,0.0325646751985966
R00835,RPA3636,Pentose phosphate pathway,D-Glucose-6-phosphateNADP+ 1-oxoreductase,FVSEOF|FluxRETAP|CASOP,3,0.7112,-0.1131337191191107,0.0594609613781671,0.0325646751985965
R02035,RPA3637,Pentose phosphate pathway,"6-Phospho-D-glucono-1,5-lactone lactonohydrolase",FVSEOF|FluxRETAP|CASOP,3,0.5811,-0.1131337191180239,0.0594609613781662,0.0325646751985964
R01353,RPA4566,Propanoate metabolism,ATP:acetate phosphotransferase,FluxRETAP|CASOP,2,1.5266,,0.1948998178507796,0.0339316457721872
R00127,RPA3229,Purine metabolism,ATPAMP phosphotransferase,FluxRETAP|CASOP,2,1.4751,,0.1336212725003004,0.069179421442487
R00351,RPA2907,Citrate cycle (TCA cycle),Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- - acetyl-CoA),FVSEOF|CASOP,2,1.4011,-0.1337602702724465,,0.0494669390881853
R00004,RPA0411,Oxidative phosphorylation,Pyrophosphate phosphohydrolase (soluble),FVSEOF|FluxRETAP,2,1.0,-0.4139433266534468,0.1461748633881841,
R00206,RPA1051,Pyruvate metabolism,"ATPpyruvate,orthophosphate phosphotransferase",FVSEOF|FluxRETAP,2,0.9608,-0.2270209431613147,0.194899817850719,
R04386,RPA0071,Fatty acid biosynthesis,Acetyl-CoAcarbon-dioxide ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.9412,-0.1652940487519117,0.146174863387978,
R01821,RPA4727,Starch and sucrose metabolism,cpd00155 phosphorylase,FVSEOF|FluxRETAP,2,0.9245,-0.1513482253216302,0.1948998178506376,
R04385,RPA2435,Fatty acid biosynthesis,biotin-carboxyl-carrier-proteincarbon-dioxide ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.9216,-0.1652940487518035,0.1461748633879784,
R01257,RPA1331,Pyruvate metabolism,(S)-Malate(acceptor) oxidoreductase,FVSEOF|FluxRETAP,2,0.8868,-0.1297270502757704,0.1670569867291177,
R01253,RPA1580,Arginine and proline metabolism,Proline dehydrogenase,FVSEOF|FluxRETAP,2,0.8679,-0.1297270502788112,0.1670569867291166,
R01515,RPA3173,Pyruvate metabolism,3-Phospho-D-glyceroyl phosphate phosphohydrolase,FVSEOF|FluxRETAP,2,0.8113,-0.1135111689930467,0.1461748633879821,
R00571,RPA2886,Pyrimidine metabolism,UTPammonia ligase(ADP-forming),FVSEOF|FluxRETAP,2,0.7925,-0.1142306231002641,0.1461748633879801,
R00019,RPA0962,Hydrogen biosynthesis,hydrogen:ferredoxin oxidoreductase,FVSEOF|FluxRETAP,2,0.7736,-0.1135111689926594,0.1461748633879784,
R00706,RPA3450,Inositol metabolism,"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)",FVSEOF|FluxRETAP,2,0.7358,-0.1135111689912987,0.1461748633879782,
R00568,RPA4765,Pyrimidine metabolism,CTP aminohydrolase,FVSEOF|FluxRETAP,2,0.7255,-0.1135111689933398,0.1461748633879778,
R00233,RPA0560,Beta-Alanine metabolism,malonyl-CoA carboxy-lyase (acetyl-CoA-forming),FVSEOF|FluxRETAP,2,0.717,-0.1135111689912975,0.1461748633879782,
R04209,RPA4174,Purine metabolism,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase,FVSEOF|FluxRETAP,2,0.6792,-0.1135111689912899,0.146174863387978,
R00256,RPA4211,Glutamate metabolism,L-Glutamine amidohydrolase,FVSEOF|FluxRETAP,2,0.6667,-0.1135111689926609,0.1461748633879778,
R00341,RPA0360,Glycolysis / Gluconeogenesis,ATPoxaloacetate carboxy-lyase (transphosphorylating),FVSEOF|FluxRETAP,2,0.6604,-0.1135111689913741,0.1461748633879779,
R00259,RPA0592,Urea cycle and metabolism of amino groups,Acetyl-CoAL-glutamate N-acetyltransferase,FVSEOF|FluxRETAP,2,0.6471,-0.1135111689925081,0.1461748633879777,
R02301,RPA4454,One carbon pool by folate,5-Formyltetrahydrofolate cyclo-ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.5849,-0.1135111689912356,0.1461748633879777,
R00848,RPA4410,Glycerophospholipid metabolism,sn-Glycerol-3-phosphate(acceptor) 2-oxidoreductase,FVSEOF|FluxRETAP,2,0.5094,-0.0825535774490873,0.1063089915548938,
R02740,RPA3634,Glycolysis / Gluconeogenesis,D-Glucose-6-phosphate ketol-isomerase,FluxRETAP|CASOP,2,0.4768,,0.0594609613781687,0.0330579185814359
R03316,RPA0189,Citrate cycle (TCA cycle),3-Carboxy-1-hydroxypropyl-ThPPlipoamde,FVSEOF|FluxRETAP,2,0.4717,-0.0522926066963614,0.1020566318927553,
R00239,RPA0163,Urea cycle and metabolism of amino groups,ATPL-glutamate 5-phosphotransferase,FVSEOF|FluxRETAP,2,0.434,-0.0756741126620202,0.0974499089253188,
R03313,RPA0164,Urea cycle and metabolism of amino groups,L-Glutamate-5-semialdehydeNADP+ 5-oxidoreductase (phosphorylationg),FVSEOF|FluxRETAP,2,0.4151,-0.0756741126617412,0.0974499089253186,
