reaction,gene,subsystem,name,methods,n_methods,consensus_score,FVSEOF_q_slope,FluxRETAP_flux_diff,CASOP_ko_score,module,source,brightness
R01196,RPA4721,Citrate cycle (TCA cycle),pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),FVSEOF|FluxRETAP|CASOP,3,1.7986,-0.2720988956244547,0.0595330352706933,0.0689520758222445,redox,sharp,0.6097749537963828
R00921,RPA4567,Propanoate metabolism,acetyl-CoAphosphate acetyltransferase,FVSEOF|FluxRETAP|CASOP,3,1.3602,-0.1513482253244988,0.1948998178506375,0.0339316457721871,accoa,sharp,0.4617513342558811
R00835,RPA3636,Pentose phosphate pathway,D-Glucose-6-phosphateNADP+ 1-oxoreductase,FVSEOF|FluxRETAP|CASOP,3,0.7112,-0.1131337191191107,0.0594609613781671,0.0325646751985965,ppp,fill,0.17244940709314244
R00127,RPA3229,Purine metabolism,ATPAMP phosphotransferase,FluxRETAP|CASOP,2,1.4751,,0.1336212725003004,0.069179421442487,nuc,sharp,0.4914720466930563
R00351,RPA2907,Citrate cycle (TCA cycle),Citrate oxaloacetate-lyase ((pro-3S)-CH2COO- - acetyl-CoA),FVSEOF|CASOP,2,1.4011,-0.1337602702724465,,0.0494669390881853,accoa,sharp,0.22919465129089717
R00004,RPA0411,Oxidative phosphorylation,Pyrophosphate phosphohydrolase (soluble),FVSEOF|FluxRETAP,2,1.0,-0.4139433266534468,0.1461748633881841,,nuc,sharp,1.0
R00206,RPA1051,Pyruvate metabolism,"ATPpyruvate,orthophosphate phosphotransferase",FVSEOF|FluxRETAP,2,0.9608,-0.2270209431613147,0.194899817850719,,backbone,sharp,0.48576200556087623
R04386,RPA0071,Fatty acid biosynthesis,Acetyl-CoAcarbon-dioxide ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.9412,-0.1652940487519117,0.146174863387978,,accoa,sharp,0.3159465249799588
R01821,RPA4727,Starch and sucrose metabolism,cpd00155 phosphorylase,FVSEOF|FluxRETAP,2,0.9245,-0.1513482253216302,0.1948998178506376,,other,sharp,0.4617513342558815
R01257,RPA1331,Pyruvate metabolism,(S)-Malate(acceptor) oxidoreductase,FVSEOF|FluxRETAP,2,0.8868,-0.1297270502757704,0.1670569867291177,,tca,sharp,0.37121960861842257
