symbol,model_locus,name,module,source,ai_score,fba_methods,group,justification,citation
gltB,RPA0891,L-GlutamateNADP+ oxidoreductase (transaminating),nreg,AI,0.55,,N-sensor (metabolic),"GOGAT, a secondary N-assimilation enzyme; the N-starvation-mimicry axis is already covered by the kept regulators (glnB/glnK/ntrB/nifA). Single-guide-feasible via the shared RPA0891 subunit, so available to restore if a metabolic N-lever is wanted.",van Heeswijk 2013
hbaA,RPA0670,benzoyl-CoA:acceptor oxidoreductase,other,AI,0.22,,counter-evidence,4-hydroxybenzoyl-CoA reductase sits on the MAIN p-coumarate -> 4-HBA -> benzoyl-CoA catabolic route; repressing it cuts carbon SUPPLY rather than redirecting it (same logic that excludes the couAB feedstock ligase).,Egland 1997; Gibson & Harwood 2002
isocitrate lyase (FBA),RPA4394,Isocitrate glyoxylate-lyase,tca,FBA,,FVSEOF,counter-evidence,"Glyoxylate-shunt entry. In R. palustris the glyoxylate shunt RETAINS the two acetyl-CoA carbons (avoids CO2 loss) and is the MAIN acetyl-CoA assimilation route; knocking it forces carbon into the CO2-losing lower TCA -> counterproductive for carbon-to-PHB, despite the FBA growth-coupling signal.",McKinlay 2014 (JBC); McKinlay & Harwood 2010 (PNAS)
atpA,RPA0175,ATP synthase (four protons for one ATP),nuc,AI,0.08,,high-risk (metabolic),ATP synthase alpha; global energy-stress lever with ATP-burst/lethality risk and no model support. The AI itself flags it late-DBTL.,Koebmann 2002; Otto 1993
nuoF,RPA2937,NADH dehydrogenase (ubiquinone-8  4 protons),redox,AI,0.18,,high-risk (metabolic),"Complex I; perturbing respiration is high-risk in CGA009, which obligately depends on CBB/RuBisCO as its electron sink (RuBisCO deletion is lethal photoheterotrophically). Redundant with FBA redox nodes.",Wang 2010 (Arch Microbiol); Brandt 2006
pntA,RPA4180,NAD(P) transhydrogenase,redox,AI,0.1,,high-risk (metabolic),"Transhydrogenase; redundant with the FBA-selected ferredoxin redox nodes (pyruvate:Fd oxidoreductase RPA4721 etc.), direction-dependent/uncertain, and redox-risky given CGA009's obligate CBB electron sink.",Sauer 2004; Wang 2010 (obligate CBB)
ackA,RPA4566,ATP:acetate phosphotransferase,accoa,AI+FBA,0.68,CASOP|FVSEOF|FluxRETAP,redundant duplicate,2nd step of the pta-ackA overflow pathway; knocking pta (upstream) already closes the valve and pta is FBA+AI consensus (3 methods). A lone ackA KD is worse: cells accumulate toxic acetyl-phosphate and pick up suppressor mutations.,"Kim 2010 (ackA instability, PMC3008541); phosphotransacetylase = key PHB factor"
fabF,RPA2019,Octanoyl-[acyl-carrier protein]malonyl-[acyl-carrier-protein],accoa,AI,0.42,,redundant duplicate,"beta-ketoacyl-ACP synthase II (FAS elongation), downstream of ACC; redundant with accA (FBA+AI consensus, RPA0071).",Magnuson 1993; Cronan & Rock
fabH,RPA0426,Octanoyl-[acyl-carrier protein]malonyl-[acyl-carrier-protein],accoa,AI,0.78,,redundant duplicate,"beta-ketoacyl-ACP synthase III (FAS initiation) is DOWNSTREAM of the committed ACC step; accA (kept) blocks the whole pathway and frees acetyl-CoA directly, so fabH adds nothing.",Davis 2000; Heath & Rock 1996
glnA,RPA2967,L-Glutamateammonia ligase (ADP-forming),nreg,AI,0.92,,single-guide-infeasible (isozyme redundancy),"GS function = 4 dispersed isozymes (GPR R00253 = RPA0984 or RPA1401 or RPA2967 or RPA4209); a single sgRNA on GlnA1 (RPA2967) leaves 3 GS genes and the cell shifts to GlnA2 for NH4+ assimilation, so single-guide CRISPRi cannot knock down GS activity. Cut on feasibility, not merit.","Microbiol Spectr 11:e04953-22 (2023), doi:10.1128/spectrum.04953-22, PMID 36971559 (GlnA1 KO -> shift to GlnA2)"
